identifier,title,status,priority,labels,assignee,createdAt,completedAt
MER-1,Welcome to Linear 👋,Canceled,"{'value': 2, 'name': 'High'}",,,2023-04-01T14:22:25.144Z,
MER-2,"Try 3 ways to navigate Linear: Command line, keyboard or mouse",Canceled,"{'value': 3, 'name': 'Medium'}",,,2023-04-01T14:22:25.144Z,
MER-3,Connect to Slack,Canceled,"{'value': 3, 'name': 'Medium'}",,,2023-04-01T14:22:25.144Z,
MER-4,Connect GitHub or GitLab,Canceled,"{'value': 3, 'name': 'Medium'}",,,2023-04-01T14:22:25.144Z,
MER-5,Customize settings,Canceled,"{'value': 3, 'name': 'Medium'}",,,2023-04-01T14:22:25.144Z,
MER-6,Use Cycles to focus work over n–weeks,Canceled,"{'value': 4, 'name': 'Low'}",,,2023-04-01T14:22:25.144Z,
MER-7,Use Projects to organize work for features or releases,Canceled,"{'value': 4, 'name': 'Low'}",,,2023-04-01T14:22:25.144Z,
MER-8,✨ProTip: Mouse over this issue & press [Space],Canceled,"{'value': 4, 'name': 'Low'}",,,2023-04-01T14:22:25.144Z,
MER-9,Customize views with View Options and Filters,Canceled,"{'value': 4, 'name': 'Low'}",,,2023-04-01T14:22:25.144Z,
MER-10,Next Steps,Canceled,"{'value': 4, 'name': 'Low'}",,,2023-04-01T14:22:25.144Z,
MER-11,Project Initialization (The Walking Skeleton),Done,,Technical Debt,Mert Ertuğrul,2026-02-16T18:56:30.825Z,2026-02-20T20:01:20.238Z
MER-12,Spring Boot 3 project initialized with Java 21.,Done,,Task,Mert Ertuğrul,2026-02-16T18:59:17.777Z,2026-02-17T20:51:08.812Z
MER-13,"Dependencies added: Spring Web (MVC), Spring Data JPA for PostgreSQL, Lombok.",Done,,Task,Mert Ertuğrul,2026-02-16T18:59:26.079Z,2026-02-17T20:51:18.290Z
MER-14,Create cloud database on Neon.tech,Done,,Task,Mert Ertuğrul,2026-02-16T18:59:33.491Z,2026-02-17T20:51:21.481Z
MER-15,Application starts successfully and connects to the Dockerized DB.,Done,,Task,Mert Ertuğrul,2026-02-16T18:59:41.558Z,2026-02-20T12:36:13.098Z
MER-16,"A simple ""Health Check"" endpoint (GET `/api/health` ) returns `200 OK` .",Done,,Task,Mert Ertuğrul,2026-02-16T18:59:49.808Z,2026-02-20T20:01:21.254Z
